IATA,ICAO,Airport Name,Country Code
AAA,NTGA,Anaa,PF
AAB,YARY,Arrabury Airport,AU
AAC,HEAR,El Arish International Airport,EG
AAD,HCAD,Adado Airport,SO
AAE,DABB,Les Salines Airport,DZ
AAF,KAAF,Apalachicola Regional,US
AAG,SSYA,Arapoti,BR
AAH,EDKA,Aachen/Merzbruck,DE
AAI,SWRA,Arraias,BR
AAJ,SMCA,Cayana Airstrip,SR
AAK,NGUK,Aranuka,KI
AAL,EKYT,Aalborg Airport,DK
AAM,FAMD,Mala Mala,ZA
AAN,OMAL,Al Ain Airport,AE
AAO,SVAN,Anaco,VE
AAP,WALS,Andrau Airpark,US
AAQ,URKA,Anapa Airport,RU
AAR,EKAH,Aarhus Airport,DK
AAT,ZWAT,Altay Airport,CN
AAU,NSAU,Asau,WS
AAV,RPMA,Allah Valley,PH
AAW,OPAB,Abbottabad,PK
AAX,SBAX,Araxa Airport,BR
AAY,OYGD,Al Ghaydah,YE
AAZ,MGQZ,Quetzaltenango,GT
ABA,UNAA,Abakan Airport,RU
ABB,DNAS,Asaba International Airport,NG
ABC,LEAB,Los Llanos,ES
ABD,OIAA,Abadan Airport,IR
ABE,KABE,Lehigh Valley International Airport,US
ABF,NGAB,Abaiang,KI
ABG,YABI,Abingdon,AU
ABH,YAPH,Alpha,AU
ABI,KABI,Abilene Regional Airport,US
ABJ,DIAP,Felix Houphouet Boigny Airport,CI
ABK,HAKD,Kabri Dar,ET
ABL,PAFM,Ambler Airport,US
ABM,YNPE,Northern Peninsula Airport,AU
ABN,SMBN,Albina,SR
ABO,DIAO,Aboisso,CI
ABQ,KABQ,Albuquerque International Sunport,US
ABR,KABR,Aberdeen Municipal Airport,US
ABS,HEBL,Abu Simbel,EG
ABT,OEBA,Al-Aqiq Airport,SA
ABU,WATA,Haliwen Airport,ID
ABV,DNAA,Nnamdi Azikiwe International Airport,NG
ABX,YMAY,Albury Airport,AU
ABY,KABY,Southwest Georgia Regional Airport,US
ABZ,EGPD,Aberdeen International Airport,GB
ACA,MMAA,Acapulco International Airport,MX
ACB,KACB,Antrim County,US
ACC,DGAA,Kotoka International Airport,GH
ACD,SKAD,Acandi,CO
ACE,GCRR,Lanzarote Airport,ES
ACF,ZWAL,Alaer Talimu Airport,CN
ACH,LSZR,Altenrhein Airport,CH
ACI,EGJA,Alderney Airport,GB
ACJ,VCCA,Anuradhapura,LK
ACK,KACK,Nantucket Memorial Airport,US
ACN,MMCC,International,MX
ACO,MRAF,Cobano Airport,CR
ACP,OITM,Sahand,IR
ACR,SKAC,Araracuara,CO
ACS,UNKS,Achinsk,RU
ACT,KACT,Waco Municipal Airport,US
ACV,KACV,Arcata-Eureka Airport,US
ACX,ZUYI,Xingyi Airport,CN
ACY,KACY,Atlantic City International Airport,US
ACZ,OIZB,Zabol Airport,IR
ADA,LTAF,Adana Airport,TR
ADB,LTBJ,Izmir Adnan Menderes Airport,TR
ADC,AYAN,Andakombe,PG
ADD,HAAB,Addis Ababa Bole International Airport,ET
ADE,OYAA,International,YE
ADF,LTCP,Adiyaman Airport,TR
ADG,KADG,Lenawee County,US
ADH,UEEA,Aldan,RU
ADI,FYAR,Arandis,NA
ADJ,OJAM,Marka International Airport,JO
ADK,PADK,Adak Island Ns,US
ADL,YPAD,Adelaide Airport,AU
ADM,KADM,Ardmore Municipal Airport,US
ADN,SKAN,Andes,CO
ADO,YAMK,Andamooka,AU
ADP,VCCG,Ampara,LK
ADQ,PADQ,Kodiak Benny Benson State Airport,US
ADR,KPHH,Andrews,US
ADS,KADS,Addison Airport,US
ADT,KADH,Ada Municipal,US
ADU,OITL,Ardabil Airport,IR
ADW,KADW,Andrews AFB,US
ADX,EGQL,Leuchars,GB
ADY,FAAL,Alldays,ZA
ADZ,SKSP,Gustavo Rojas Pinilla Airport,CO
AEA,NGTB,Abemama Atoll,KI
AEB,ZGBS,Youjiang,CN
AEG,WIME,Aek Godang,ID
AEH,FTTC,Abéché,TD
AEK,AYAX,Aseki,PG
AEL,KAEL,Albert Lea,US
AEM,UHTG,Amgu,RU
AEO,GQNA,Aioun El Atrouss,MR
AEP,SABE,Jorge Newbery Airport,AR
AER,URSS,Sochi International Airport,RU
AES,ENAL,Vigra Alesund Airport,NO
AET,PFAL,Allakaket,US
AEU,OIBA,Abu Musa,IR
AEX,KAEX,Alexandria International Airport,US
AEY,BIAR,Akureyri Airport,IS
AFA,SAMR,San Rafael Airport,AR
AFD,FAPA,Port Alfred,ZA
AFF,KAFF,USAF Academy Airstrip,US
AFI,SKAM,Amalfi,CO
AFL,SBAT,Alta Floresta Airport,BR
AFN,KAFN,Municipal,US
AFO,KAFO,Municipal,US
AFR,AYAF,Afore,PG
AFS,UTSN,Zarafshan,UZ
AFT,AGAF,Afutara Aerodrome,SB
AFW,KAFW,Fort Worth Alliance Airport,US
AFY,LTAH,Afyon,TR
AFZ,OIMS,Sabzevar,IR
AGA,GMAD,Agadir Al Massira Airport,MA
AGB,EDMA,Augsburg Airport,DE
AGC,KAGC,Allegheny County Airport,US
AGD,WASG,Anggi,ID
AGE,EDWG,Flugplatz,DE
AGF,LFBA,La Garenne Airport,FR
AGH,ESTA,Angelholm Helsingborg Airport,SE
AGI,SMWA,Wageningen,SR
AGJ,RORA,Aguni,JP
AGL,AYWG,Wanigela,PG
AGN,PAGN,Angoon,US
AGO,KAGO,Municipal,US
AGP,LEMG,Malaga Airport,ES
AGQ,LGAG,Agrinion,GR
AGR,VIAG,Kheria,IN
AGS,KAGS,Augusta Regional Airport,US
AGT,SGES,Alejo Garcia Airport,PY
AGU,MMAS,Aguascalients International Airport,MX
AGV,SVAC,Acarigua,VE
AGX,VOAT,Agatti Island Airport,IN
AGZ,FAAG,Aggeneys,ZA
AHB,OEAB,Abha Regional Airport,SA
AHC,KAHC,Amedee AAF,US
AHE,NTHE,Ahe Airport,PF
AHH,KAHH,Municipal,US
AHI,WAPA,Amahai,ID
AHJ,ZUHY,Hongyuan Airport,CN
AHL,SYAH,Aishalton,GY
AHM,KS03,Sumner Parker Field,US
AHN,KAHN,Athens-Ben Epps,US
AHO,LIEA,Alghero-Fertilia Airport,IT
AHS,MHAH,Ahuas,HN
AHU,GMTA,Charif Al Idrissi Airport,MA
AHZ,LFHU,Alpe D Huez,FR
AIA,KAIA,Alliance Airport,US
AID,KAID,Municipal,US
AIE,AYAO,Aiome,PG
AIF,SNAX,Assis,BR
AIG,FEFY,Yalinga,CF
AIH,AYAK,Aiambak,PG
AII,HDAS,Alisabieh,DJ
AIK,KAIK,Municipal,US
AIN,PAWI,Wainwright,US
AIO,KAIO,Municipal,US
AIP,VIAX,Ailinglapalap Island,MH
AIR,SSOU,Aripuana,BR
AIS,NGTR,Arorae Island,KI
AIT,NCAI,Aitutaki Airport,CK
AIU,NCAT,Atiu Island,CK
AIV,KAIV,George Downer,US
AIW,FYAA,Ai-ais,NA
AIZ,KAIZ,Lee C Fine Memorial,US
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,FR
AJF,OESK,Jouf Airport,SA
AJI,LTCO,Agri Airport,TR
AJJ,GQNJ,Akjoujt,MR
AJK,OIHR,Araak,IR
AJL,VELP,Aizawl Airport,IN
AJN,FMCV,Ouani,KM
AJR,ESNX,Arvidsjaur Airport,SE
AJU,SBAR,Aracaju Airport,BR
AJY,DRZA,Agades,NE
AKA,ZLAK,Ankang,CN
AKB,PAAK,Atka,US
AKC,KAKR,Fulton International,US
AKD,VAAK,Akola,IN
AKE,FOGA,Akieni,GA
AKF,HLKF,Kufrah,LY
AKG,AYGU,Anguganak,PG
AKH,OEPS,Prince Sultan Air Base,SA
AKI,PFAK,Akiak,US
AKJ,RJEC,Asahikawa Airport,JP
AKK,PAKH,Akhiok SPB,US
AKL,NZAA,Auckland Airport,NZ
AKN,PAKN,King Salmon Airport,US
AKO,KAKO,Colorado Plains Regional Airport,US
AKP,PAKP,Anaktuvuk,US
AKR,DNAK,Akure,NG
AKS,AGGA,Gwaunaru'u,SB
AKT,LCRA,Raf Akrotiri,CY
AKU,ZWAK,Aksu Airport,CN
AKV,CYKO,Akulivik,CA
AKW,OIAG,Aghajari,IR
AKX,UATT,Aktyubinsk Airport,KZ
AKY,VYSW,Civil Airport,MM
ALA,UAAA,Almaty Airport,KZ
ALB,KALB,Albany International Airport,US
ALC,LEAL,Alicante-Elche Airport,ES
ALD,SPAR,Alerta,PE
ALF,ENAT,Alta Airport,NO
ALG,DAAG,Houari Boumediene Airport,DZ
ALH,YABA,Albany Airport,AU
ALI,KALI,International,US
ALJ,FAAB,Alexander Bay Airport,ZA
ALL,LIMG,Albenga,IT
ALM,KALM,Municipal,US
ALN,KALN,Alton,US
ALO,KALO,Waterloo Airport,US
ALP,OSAP,Nejrab,SY
ALQ,SSLT,Federal,BR
ALR,NZLX,Alexandra,NZ
ALS,KALS,Alamosa Municipal Airport,US
ALT,SDWQ,Alenquer,BR
ALU,HCMA,Alula,SO
ALW,KALW,Walla Walla Airport,US
ALX,KALX,Thomas C Russell Field,US
ALY,HEAX,El Nohza,EG
AMA,KAMA,Rick Husband Amarillo International Airport,US
AMB,FMNE,Ambilobe,MG
AMC,FTTN,Am Timan,TD
AMD,VAAH,Ahmedabad Airport,IN
AMF,AYAA,Ama,PG
AMH,HAAM,Arba Mintch Airport,ET
AMI,WADA,Selaparang,ID
AMJ,SNAR,Almenara,BR
AMM,OJAI,Queen Alia International Airport,JO
AMN,KAMN,Gratiot Community,US
AMO,FTTU,Mao,TD
AMP,FMSY,Ampanihy,MG
AMQ,WAPP,Pattimura Airport,ID
AMS,EHAM,Amsterdam Airport Schiphol,NL
AMT,YAMT,Amata,AU
AMU,AYAM,Amanab,PG
AMV,ULDD,Amderma,RU
AMW,KAMW,Ames,US
AMX,YAMM,Ammaroo,AU
AMZ,NZAR,Ardmore,NZ
ANA,HKOM,John Wayne International,US
ANB,KANB,Anniston Metropolitan,US
ANC,PANC,Ted Stevens Anchorage International Airport,US
AND,KAND,Anderson,US
ANE,LFJR,Angers-Marce Airport,FR
ANF,SCFA,Cerro Moreno International Airport,CL
