Name,UTC Offset (SDT),UTC Offset (DST)
Africa/Abidjan,+00:00,+00:00
Africa/Algiers,+01:00,+01:00
Africa/Bissau,+00:00,+00:00
Africa/Cairo,+02:00,+03:00
Africa/Casablanca,+01:00,+00:00
Africa/Ceuta,+01:00,+02:00
Africa/El_Aaiun,+01:00,+00:00
Africa/Johannesburg,+02:00,+02:00
Africa/Juba,+02:00,+02:00
Africa/Khartoum,+02:00,+02:00
Africa/Lagos,+01:00,+01:00
Africa/Maputo,+02:00,+02:00
Africa/Monrovia,+00:00,+00:00
Africa/Nairobi,+03:00,+03:00
Africa/Ndjamena,+01:00,+01:00
Africa/Sao_Tome,+00:00,+00:00
Africa/Tripoli,+02:00,+02:00
Africa/Tunis,+01:00,+01:00
Africa/Windhoek,+02:00,+02:00
America/Adak,-10:00,-09:00
America/Anchorage,-09:00,-08:00
America/Araguaina,-03:00,-03:00
America/Argentina/Buenos_Aires,-03:00,-03:00
America/Argentina/Catamarca,-03:00,-03:00
America/Argentina/Cordoba,-03:00,-03:00
America/Argentina/Jujuy,-03:00,-03:00
America/Argentina/La_Rioja,-03:00,-03:00
America/Argentina/Mendoza,-03:00,-03:00
America/Argentina/Rio_Gallegos,-03:00,-03:00
America/Argentina/Salta,-03:00,-03:00
America/Argentina/San_Juan,-03:00,-03:00
America/Argentina/San_Luis,-03:00,-03:00
America/Argentina/Tucuman,-03:00,-03:00
America/Argentina/Ushuaia,-03:00,-03:00
America/Asuncion,-04:00,-03:00
America/Bahia,-03:00,-03:00
America/Bahia_Banderas,-06:00,-06:00
America/Barbados,-04:00,-04:00
America/Belem,-03:00,-03:00
America/Belize,-06:00,-06:00
America/Boa_Vista,-04:00,-04:00
America/Bogota,-05:00,-05:00
America/Boise,-07:00,-06:00
America/Cambridge_Bay,-07:00,-06:00
America/Campo_Grande,-04:00,-04:00
America/Cancun,-05:00,-05:00
America/Caracas,-04:00,-04:00
America/Cayenne,-03:00,-03:00
America/Chicago,-06:00,-05:00
America/Chihuahua,-06:00,-06:00
America/Ciudad_Juarez,-07:00,-06:00
America/Costa_Rica,-06:00,-06:00
America/Cuiaba,-04:00,-04:00
America/Danmarkshavn,+00:00,+00:00
America/Dawson,-07:00,-07:00
America/Dawson_Creek,-07:00,-07:00
America/Denver,-07:00,-06:00
America/Detroit,-05:00,-04:00
America/Edmonton,-07:00,-06:00
America/Eirunepe,-05:00,-05:00
America/El_Salvador,-06:00,-06:00
America/Fort_Nelson,-07:00,-07:00
America/Fortaleza,-03:00,-03:00
America/Glace_Bay,-04:00,-03:00
America/Goose_Bay,-04:00,-03:00
America/Grand_Turk,-05:00,-04:00
America/Guatemala,-06:00,-06:00
America/Guayaquil,-05:00,-05:00
America/Guyana,-04:00,-04:00
America/Halifax,-04:00,-03:00
America/Havana,-05:00,-04:00
America/Hermosillo,-07:00,-07:00
America/Indiana/Indianapolis,-05:00,-04:00
America/Indiana/Knox,-06:00,-05:00
America/Indiana/Marengo,-05:00,-04:00
America/Indiana/Petersburg,-05:00,-04:00
America/Indiana/Tell_City,-06:00,-05:00
America/Indiana/Vevay,-05:00,-04:00
America/Indiana/Vincennes,-05:00,-04:00
America/Indiana/Winamac,-05:00,-04:00
America/Inuvik,-07:00,-06:00
America/Iqaluit,-05:00,-04:00
America/Jamaica,-05:00,-05:00
America/Juneau,-09:00,-08:00
America/Kentucky/Louisville,-05:00,-04:00
America/Kentucky/Monticello,-05:00,-04:00
America/La_Paz,-04:00,-04:00
America/Lima,-05:00,-05:00
America/Los_Angeles,-08:00,-07:00
America/Maceio,-03:00,-03:00
America/Managua,-06:00,-06:00
America/Manaus,-04:00,-04:00
America/Martinique,-04:00,-04:00
America/Matamoros,-06:00,-05:00
America/Mazatlan,-07:00,-07:00
America/Menominee,-06:00,-05:00
America/Merida,-06:00,-06:00
America/Metlakatla,-09:00,-08:00
America/Mexico_City,-06:00,-06:00
America/Miquelon,-03:00,-02:00
America/Moncton,-04:00,-03:00
America/Monterrey,-06:00,-06:00
America/Montevideo,-03:00,-03:00
America/New_York,-05:00,-04:00
America/Nome,-09:00,-08:00
America/Noronha,-02:00,-02:00
America/North_Dakota/Beulah,-06:00,-05:00
America/North_Dakota/Center,-06:00,-05:00
America/North_Dakota/New_Salem,-06:00,-05:00
America/Nuuk,-02:00,-01:00
America/Ojinaga,-06:00,-05:00
America/Panama,-05:00,-05:00
America/Paramaribo,-03:00,-03:00
America/Phoenix,-07:00,-07:00
America/Port-au-Prince,-05:00,-04:00
America/Porto_Velho,-04:00,-04:00
America/Puerto_Rico,-04:00,-04:00
America/Punta_Arenas,-03:00,-03:00
America/Rankin_Inlet,-06:00,-05:00
America/Recife,-03:00,-03:00
America/Regina,-06:00,-06:00
America/Resolute,-06:00,-05:00
America/Rio_Branco,-05:00,-05:00
America/Santarem,-03:00,-03:00
America/Santiago,-04:00,-03:00
America/Santo_Domingo,-04:00,-04:00
America/Sao_Paulo,-03:00,-03:00
America/Scoresbysund,-02:00,-01:00
America/Sitka,-09:00,-08:00
America/St_Johns,-03:30,-02:30
America/Swift_Current,-06:00,-06:00
America/Tegucigalpa,-06:00,-06:00
America/Thule,-04:00,-03:00
America/Tijuana,-08:00,-07:00
America/Toronto,-05:00,-04:00
America/Vancouver,-08:00,-07:00
America/Whitehorse,-07:00,-07:00
America/Winnipeg,-06:00,-05:00
America/Yakutat,-09:00,-08:00
Antarctica/Casey,+08:00,+08:00
Antarctica/Davis,+07:00,+07:00
Antarctica/Macquarie,+10:00,+11:00
Antarctica/Mawson,+05:00,+05:00
Antarctica/Palmer,-03:00,-03:00
Antarctica/Rothera,-03:00,-03:00
Antarctica/Troll,+00:00,+02:00
Antarctica/Vostok,+05:00,+05:00
Asia/Almaty,+05:00,+05:00
Asia/Amman,+03:00,+03:00
Asia/Anadyr,+12:00,+12:00
Asia/Aqtau,+05:00,+05:00
Asia/Aqtobe,+05:00,+05:00
Asia/Ashgabat,+05:00,+05:00
Asia/Atyrau,+05:00,+05:00
Asia/Baghdad,+03:00,+03:00
Asia/Baku,+04:00,+04:00
Asia/Bangkok,+07:00,+07:00
Asia/Barnaul,+07:00,+07:00
Asia/Beirut,+02:00,+03:00
Asia/Bishkek,+06:00,+06:00
Asia/Chita,+09:00,+09:00
Asia/Choibalsan,+08:00,+08:00
Asia/Colombo,+05:30,+05:30
Asia/Damascus,+03:00,+03:00
Asia/Dhaka,+06:00,+06:00
Asia/Dili,+09:00,+09:00
Asia/Dubai,+04:00,+04:00
Asia/Dushanbe,+05:00,+05:00
Asia/Famagusta,+02:00,+03:00
Asia/Gaza,+02:00,+03:00
Asia/Hebron,+02:00,+03:00
Asia/Ho_Chi_Minh,+07:00,+07:00
Asia/Hong_Kong,+08:00,+08:00
Asia/Hovd,+07:00,+07:00
Asia/Irkutsk,+08:00,+08:00
Asia/Jakarta,+07:00,+07:00
Asia/Jayapura,+09:00,+09:00
Asia/Jerusalem,+02:00,+03:00
Asia/Kabul,+04:30,+04:30
Asia/Kamchatka,+12:00,+12:00
Asia/Karachi,+05:00,+05:00
Asia/Kathmandu,+05:45,+05:45
Asia/Khandyga,+09:00,+09:00
Asia/Kolkata,+05:30,+05:30
Asia/Krasnoyarsk,+07:00,+07:00
Asia/Kuching,+08:00,+08:00
Asia/Macau,+08:00,+08:00
Asia/Magadan,+11:00,+11:00
Asia/Makassar,+08:00,+08:00
Asia/Manila,+08:00,+08:00
Asia/Nicosia,+02:00,+03:00
Asia/Novokuznetsk,+07:00,+07:00
Asia/Novosibirsk,+07:00,+07:00
